1	abonements	automātisks
2	abonements	dažāds
1	abonements	ikgadējs
1	abonements	nepieciešams
1	aborts	08.,medicīnisks
3	aborts	mākslīgs
1	aborts	piespiedu
1	aborts	pirmā
3	aborts	spontāns
1	absolvente	2003.
1	absolvente	pirmā
1	absolvents	1.
2	absolvents	ievērojams
1	absolvents	izcils
1	absolvents	labs
1	absolvents	pazīstams
3	absolvents	pirmais
1	absolvents	pirmā
1	absolvents	trūcīgs
1	absurds	raksturīgs
1	absurds	tiesisks
1	acs	11.
1	acs	2000.
1	acs	atšķirīgs
1	acs	balts
1	acs	biezs
1	acs	bīstams
1	acs	būtisks
1	acs	caurspīdīgs
1	acs	gaišs,liels
1	acs	hronisks
1	acs	i
2	acs	iekšējs
1	acs	individuāls
1	acs	labs
1	acs	labvēlīgs
2	acs	liels
3	acs	līdzīgs
3	acs	mazs
1	acs	melns
1	acs	otrais
1	acs	pazīstams
2	acs	pilns
1	acs	pirmā
1	acs	publisks
1	acs	pārmērīgs
1	acs	taisns
3	acs	trešā
1	acs	vesels
1	acs	vidējs
1	acs	zaļš
1	acs	zils
2	acs	ļauns
1	aculiecinieks	dzīvs
1	acumirklis	garš
1	administrators	augsts
1	administrators	civils
1	administrators	izcils
2	administrators	jauns
2	administrators	toreizējs
1	administrators	vecs
1	administrācija	16.
2	administrācija	civils
1	administrācija	iekšējs
1	administrācija	liels
1	administrācija	militārs
1	administrācija	plašs
2	administrācija	publisks
4	administrācija	vietējs
1	adrenalīns	sintētisks
2	adrese	1.
2	adrese	16.
1	adrese	17.
3	adrese	2.
1	adrese	27.
1	adrese	29.
1	adrese	5.
1	adrese	60.
1	adrese	atkarīgs
1	adrese	attiecīgs
1	adrese	dažāds
2	adrese	fizisks
1	adrese	iekšējs
1	adrese	iepriekšējs
3	adrese	individuāls
1	adrese	loģisks
1	adrese	mazs
1	adrese	pirmais
3	adrese	pirmā
4	adrese	unikāls
2	adrese	vecs
1	adresācija	fizisks
1	adresācija	hierarhisks
1	adresācija	loģisks
1	adresāts	nacionāls
1	advente	otrā
1	advente	pirmais
1	advokāts	bijušais
1	advokāts	labs
1	advokāts	labs,privāts
1	advokāts	mazs
1	advokāts	negodīgs
2	advokāts	pazīstams
1	advokāts	pirmais
1	advokāts	vietējs
1	aerobika	pirmais
1	aes	i
1	afrikānis	neatkarīgs
2	afrikānis	pirmais
1	agresija	1971.
1	agresija	neliels
2	agresija	tiešs
1	agresija	vardarbīgs
1	agronoms	bagāts
1	agronoms	jauns
2	aicinājums	draudzīgs
1	aicinājums	garīgs
5	aicinājums	i
1	aicinājums	ii
1	aicinājums	iii
1	aicinājums	jauns
1	aicinājums	kārtējs
1	aicinājums	labs
1	aicinājums	līdzīgs
1	aicinājums	mūžīgs
1	aicinājums	oficiāls
1	aicinājums	slavens
1	aicinājums	vecs
1	aicinājums	xvi
1	aile	atsevišķs
1	aile	dzīvīgs
1	aina	1990.
1	aina	attāls
1	aina	ilgs
1	aina	klasisks
26	aina	klīnisks
2	aina	kopējs
3	aina	līdzīgs
1	aina	mazs
1	aina	neliels
1	aina	pilns
1	aina	pirmā
1	aina	ticams
1	aina	vēsturisks
1	ainava	1.
4	ainava	apkārtējs
2	ainava	dabisks
1	ainava	fizisks
1	ainava	iespējams
1	ainava	izcils
1	ainava	noteikts
1	ainava	pazīstams
1	ainava	pirmatnējs
1	ainava	pirmā
3	ainava	raksturīgs
1	ainava	reālistisks
1	ainava	savdabīgs
2	ainava	skaists
1	ainava	svēts
1	ainava	tipisks
1	ainava	vienmuļš
1	ainava	vēsturisks
1	ainava	zinātnisks
1	aisbergs	garš,plats
7	aisbergs	liels
1	aisbergs	plats
1	aita	pirmā
1	aizbildniecība	ii
1	aizbildniecība	iii
1	aizbildnis	i
1	aizbildnis	jauns
1	aizbildnis	liels
3	aizbildnis	nabags
2	aizbildnis	svēts
1	aizbildnis	vienīgs
1	aizbildnis	vēls
2	aizdevums	hipotekārs
1	aizdevums	ilglaicīgs
1	aizdevums	jauns
1	aizdevums	kopējs
2	aizdevums	starptautisks
1	aizdomas	iespējams
1	aizkavēšanās	mainīgs
1	aizkavēšanās	neliels
1	aizliegums	dažāds
1	aizliegums	iekšējs
1	aizliegums	jauns
2	aizliegums	oficiāls
1	aizliegums	piespiedu
1	aizliegums	pilnīgs
3	aizliegums	pirmā
1	aizliegums	reliģisks
1	aizliegums	starptautisks
1	aizliegums	strikts
1	aizliegums	vispārējs
1	aizliegums	ķīmisks
2	aizmugure	2.
1	aizmugure	brūns
1	aizmugure	liels
1	aizmugure	pirmā
1	aizplūšana	kapitāls
3	aizrautība	liels
1	aizraušanās	liels
1	aizraušanās	pirmā
1	aizrādījums	neoficiāls
8	aizsardzība	1.
2	aizsardzība	1.,moderns
1	aizsardzība	16.
5	aizsardzība	2.
1	aizsardzība	2008.
2	aizsardzība	3.
1	aizsardzība	3.,klasisks
1	aizsardzība	31.
1	aizsardzība	5.
1	aizsardzība	7.
1	aizsardzība	9.
2	aizsardzība	augs
1	aizsardzība	augsts
1	aizsardzība	bioloģisks
1	aizsardzība	brīvprātīgs
3	aizsardzība	civils
2	aizsardzība	dabisks
1	aizsardzība	daļējs
1	aizsardzība	dažāds
1	aizsardzība	dinamisks
1	aizsardzība	efektīvs
1	aizsardzība	fizisks
1	aizsardzība	ikgadējs
1	aizsardzība	individuāls
3	aizsardzība	jauns
1	aizsardzība	juridisks,saimniecisks
1	aizsardzība	katastrofāls
20	aizsardzība	labs
1	aizsardzība	labvēlīgs
1	aizsardzība	labvēlīgs,garš
4	aizsardzība	liels
1	aizsardzība	maksimāls
1	aizsardzība	mobils
3	aizsardzība	moderns
1	aizsardzība	neatkarīgs
1	aizsardzība	nekustams
3	aizsardzība	nepieciešams
3	aizsardzība	nākamais
1	aizsardzība	organizēts
5	aizsardzība	otrā
2	aizsardzība	personīgs
1	aizsardzība	pirmais
4	aizsardzība	pirmā
1	aizsardzība	populārs
1	aizsardzība	raksturīgs
2	aizsardzība	savstarpējs
1	aizsardzība	sekmīgs
14	aizsardzība	simbolisks
2	aizsardzība	simetrisks
1	aizsardzība	spēcīgs
1	aizsardzība	starptautisks
2	aizsardzība	ticīgs
5	aizsardzība	tiesisks
1	aizsardzība	trešais
1	aizsardzība	trešā
1	aizsardzība	vakants
1	aizsargmehānisms	agrīns
1	aizsargs	11.
3	aizsargs	13.
1	aizsargs	14.
