1	5	urri
1	a	argi
1	a	bikoitz
1	a	delako
5	a	eder
2	a	ezagun
1	a	fin
1	a	greziar
2	a	handi
1	a	historiko
2	a	hurrengo
1	a	jatorrizko
1	a	luze
1	a	nabari
9	a	on
1	a	ondorengo
2	a	txiki
1	a	ultraeskuindar
1	a	zahar
2	a	ziur
1	a	zuzen
1	ab	positibo
1	abade	aberats
4	abade	alemaniar
1	abade	asturiar
1	abade	berri
3	abade	bertako
1	abade	bizkaitar
1	abade	boteretsu
1	abade	ezagun,nagusi
2	abade	frantses
6	abade	frantziar
1	abade	italiar
1	abade	kataluniar
5	abade	nagusi
1	abade	ohi
1	abade	zahar
1	abal	beharrezko
1	abangoardista	handi
1	abantaila	aipagarri
2	abantaila	aparteko
1	abantaila	arin
1	abantaila	berezi
1	abantaila	bestelako
1	abantaila	ekonomiko
1	abantaila	ekonomiko,estrategiko
1	abantaila	erabakigarri
1	abantaila	erraz
4	abantaila	estrategiko
1	abantaila	ezberdin
4	abantaila	fiskal
3	abantaila	garrantzitsu
24	abantaila	handi
1	abantaila	honako
1	abantaila	ikaragarri
1	abantaila	izugarrizko
1	abantaila	legal
1	abantaila	libre
1	abantaila	nabari
6	abantaila	nabarmen
35	abantaila	nagusi
1	abantaila	nagusi,bakar
1	abantaila	ohiko
1	abantaila	oinarrizko,nagusi
1	abantaila	politiko,sozial,ekonomiko
1	abantaila	praktiko
1	abantaila	tekniko,ekonomiko
1	abantaila	teknologiko
1	abantaila	teoriko
1	abantaila	turistiko
1	abantaila	txiki
1	abar	bezalako
1	abar	bizi
1	abar	desberdin
6	abar	luze
1	abar	ohi
2	abar	ugari
3	abar	urrezko
1	abar	zahar
1	abeltzain	amerikar
2	abeltzain	bertako
1	abeltzain	ezagun
1	abeltzain	handi
1	abeltzaintza	bestelako
1	abeltzaintza	bizi
2	abeltzaintza	ekologiko
1	abeltzaintza	ezker
1	abeltzaintza	garrantzitsu
2	abeltzaintza	gehiegizko
1	abeltzaintza	historiko
2	abeltzaintza	nagusi
1	abeltzaintza	oinarrizko
2	abeltzaintza	tradizional
1	abeltzaintza	txiki
1	abeltzaintza	xume
2	abendu	alemaniar
2	abendu	txiki
1	abentura	arrakastatsu
2	abentura	arriskutsu
1	abentura	aspergarri
1	abentura	azkeneko
1	abentura	barregarri
1	abentura	benetako
6	abentura	berri
1	abentura	bezalako
3	abentura	bizi
2	abentura	eder
1	abentura	etengabeko
1	abentura	gainerako
1	abentura	gatazkatsu
1	abentura	gogor
6	abentura	grafiko
1	abentura	gustuko
4	abentura	handi
1	abentura	harrigarri
1	abentura	honako
1	abentura	ikaragarri
1	abentura	ilun
1	abentura	klasiko
1	abentura	militar
1	abentura	miresgarri
1	abentura	oso
1	abentura	ospetsu
1	abentura	sekulako
1	abentura	sinple
1	abentura	turistiko
1	abentura	ugari
1	abentura	zoragarri
1	aberastasun	aipagarri
1	aberastasun	berezi
1	aberastasun	berezko
4	aberastasun	bertako
1	aberastasun	bikain
1	aberastasun	biologiko
1	aberastasun	biologiko,handi
1	aberastasun	ekologiko,handi
1	aberastasun	ekonomiko
2	aberastasun	ezezagun
1	aberastasun	formal
1	aberastasun	gutxieneko
45	aberastasun	handi
1	aberastasun	ikaragarri
1	aberastasun	itzel
2	aberastasun	izugarrizko
1	aberastasun	kultural
2	aberastasun	natural
1	aberastasun	natural,handi
1	aberastasun	natural,inportante
2	aberastasun	nazional
1	aberastasun	on
1	aberastasun	orokor
3	aberastasun	pertsonal
1	aberastasun	proportzional
2	aberastasun	sekulako
1	aberastasun	turistiko
1	aberastasun	txiki
1	aberastasun	zahar,ezagun
1	aberats	ageri
1	aberats	amerikar
1	aberats	baliotsu
1	aberats	batuar
3	aberats	berri
1	aberats	bertako
1	aberats	bete
2	aberats	boteretsu
1	aberats	errusiar
1	aberats	ezagun
1	aberats	gazte
1	aberats	konplexu
1	aberats	original
1	abere	antzeko
1	abere	apropos
2	abere	arrunt
2	abere	bakoitz
1	abere	beltz,ilun
