15/ADJ,глава/NOUN
15/ADJ,януари/NOUN
1791/ADJ,година/NOUN
1879/ADJ,година/NOUN
1886/ADJ,година/NOUN
1901/ADJ,година/NOUN
1944/ADJ,година/NOUN
1948/ADJ,година/NOUN
1963/ADJ,година/NOUN
1979/ADJ,година/NOUN
1982/ADJ,година/NOUN
1985-1987/ADJ,година/NOUN
1995/ADJ,година/NOUN
1996/ADJ,година/NOUN
1996/ADJ,година/NOUN
1996/ADJ,година/NOUN
1997/ADJ,година/NOUN
1997/ADJ,година/NOUN
1997/ADJ,година/NOUN
1997/ADJ,година/NOUN
1997/ADJ,година/NOUN
1997/ADJ,година/NOUN
1998/ADJ,година/NOUN
1998/ADJ,година/NOUN
1998/ADJ,година/NOUN
1999/ADJ,година/NOUN
1999/ADJ,година/NOUN
1999/ADJ,година/NOUN
1999/ADJ,година/NOUN
1999/ADJ,година/NOUN
1999/ADJ,година/NOUN
1999/ADJ,година/NOUN
1999/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2000/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2001/ADJ,година/NOUN
2002/ADJ,година/NOUN
2002/ADJ,година/NOUN
2005/ADJ,година/NOUN
27-годишния/ADJ,кръчмар/NOUN
29/ADJ,август/NOUN
31/ADJ,декември/NOUN
32-годишното/ADJ,крило/NOUN
37-годишният/ADJ,скулптор/NOUN
42-годишната/ADJ,певица/NOUN
46-годишният/ADJ,интелектуалец/NOUN
5-6-годишни/ADJ,хлапе/NOUN
5-и/ADJ,месец/NOUN
56-годишна/ADJ,жена/NOUN
62-годишен/ADJ,пенсионер/NOUN
69-годишният/ADJ,магистрат/NOUN
us/ADJ,източник/NOUN
xxi/ADJ,век/NOUN
абсурден/ADJ,ситуация/NOUN
авангарден/ADJ,новост/NOUN
автоматичен/ADJ,оръжие/NOUN
аграрен/ADJ,министерство/NOUN
адски/ADJ,мараня/NOUN
адски/ADJ,машина/NOUN
адски/ADJ,машина/NOUN
академичен/ADJ,автономия/NOUN
активен/ADJ,учене/NOUN
алтернативен/ADJ,решение/NOUN
алтернативен/ADJ,синод/NOUN
алтернативен/ADJ,служба/NOUN
американски/ADJ,учен/NOUN
амнистирам/ADJ,журналистка/NOUN
английски/ADJ,вестник/NOUN
апелативен/ADJ,прокуратура/NOUN
армейски/ADJ,трупа/NOUN
артилерийски/ADJ,огън/NOUN
атрактивен/ADJ,сценография/NOUN
